input,output,difficulty,chapter
(   )一百億是一千萬的多少倍？　(Ａ)　1000　倍　(Ｂ)　100　倍　(Ｃ)　10000　倍　(Ｄ)　10　倍。,答案：(Ａ) ,中,1-1_大數的記法
(   )小櫻在位值表上記「10000000000」這個數，卻比原來的數多記　1　個　0，「10000000000」是原來的數的多少倍？　(Ａ)　2　倍　(Ｂ)　5　倍　(Ｃ)　100　倍　(Ｄ)　10　倍。,答案：(Ｄ) 解析：原來的數是十億，一百億是十億的　10　倍。 ,中,1-1_大數的記法
(   )十億的　1000　倍是多少？　(Ａ)一千億　(Ｂ)一兆　(Ｃ)十兆　(Ｄ)一百兆。,答案：(Ｂ)  ,易,1-1_大數的記法
(   )十兆是一千億的幾倍？　(Ａ)　10　倍　(Ｂ)　100　倍　(Ｃ)　1000　倍　(Ｄ)　10000　倍。,答案：(Ｂ) ,易,1-1_大數的記法
(   )三十兆是三百億的多少倍？　(Ａ)　10　倍　(Ｂ)　100　倍　(Ｃ)　1000　倍　(Ｄ)　10000　倍。,答案：(Ｃ) ,中,1-1_大數的記法
(   )對於「10100010022000」的敘述，下列何者正確？　(Ａ)兆位和十萬位數字都是　0　(Ｂ)十兆位和億位數字都是　1　(Ｃ)十萬位和萬位數字都是　2　(Ｄ)最大的位數是兆位。,答案：(Ａ)　 解析： (Ｂ)十兆位數字是　1，億位數字是　0；(Ｃ)十萬位數字是　0，萬位數字是　2；(Ｄ)最大的位數是十兆位。 ,中,1-2_大數的讀寫
(   )100　億　的　100　倍是多少？　(Ａ)　1000　億　(Ｂ)　1　兆　(Ｃ)　1　億　(Ｄ)　10　兆。,答案：(Ｂ) 解析：100　億×100＝10000　億＝1　兆 ,中,1-2_大數的讀寫
(   )小威把「800035030」讀作「八兆零三萬五千零三十」，他是把哪一個位數看錯了？　(Ａ)百位　(Ｂ)千位　(Ｃ)萬位　(Ｄ)億位。,答案：(Ｄ) 解析：讀作「八億零三萬五千零三十」。 ,中,1-2_大數的讀寫
(   )1　億的　100　倍是多少？　(Ａ)　1000　億　(Ｂ)　1　兆　(Ｃ)　10　兆　(Ｄ)　100　億。,答案：(Ｄ) 解析：1　億×100＝100　億 ,易,1-2_大數的讀寫
(   )800000000　和哪一個數一樣大？　(Ａ)　8　億　(Ｂ)　80　億　(Ｃ)　800　億　(Ｄ)　8000　億。,答案：(Ａ)  ,易,1-2_大數的讀寫
(   )5666677778889999　中，從左邊數來第二個「6」的位值是多少？　(Ａ)千億位　(Ｂ)兆位　(Ｃ)十兆位　(Ｄ)百兆位。,答案：(Ｃ)  ,中,1-2_大數的讀寫
(   )38005000200　讀作　(Ａ)三千八百萬億五千萬零二百　(Ｂ)三百八十億零五千萬零二百　(Ｃ)三百八十億零五百萬零二百　(Ｄ)三十八億零五十萬零二百。,答案：(Ｃ)  ,易,1-2_大數的讀寫
(   )去年度甲公司獲利　3303003000　元，乙公司獲利　349003000　元，丙公司獲利　43003000　元，丁公司獲利　45003200　元，哪一家公司去年度獲利最少？　(Ａ)甲公司　(Ｂ)乙公司　(Ｃ)丙公司　(Ｄ)丁公司。,答案：(Ｃ) 解析：丙＜丁＜乙＜甲 ,中,1-3_大數的比較
(   )甲數是一百萬的　1000　倍，乙數是一千萬的　100　倍，丙數是一億的　10　倍，甲、乙、丙三數哪一個最大？　(Ａ)甲　(Ｂ)乙　(Ｃ)丙　(Ｄ)一樣大。,答案：(Ｄ) 解析：甲：一百萬的　1000　倍是十億 乙：一千萬的　100　倍是十億 丙：一億的　10　倍是十億 ,難,1-3_大數的比較
(   )爺爺的資產超過　816005000　元，又未滿　1000000000　元，爺爺的資產可能是幾元？　(Ａ)　1010000000　元　(Ｂ)　900000000　元　(Ｃ)　89500500　元　(Ｄ)　8200000000　元。,答案：(Ｂ) 解析：816005000＜900000000＜1000000000 ,中,1-3_大數的比較
(   )5216000000□52　億，□裡要填入　(Ａ)＜　(Ｂ)＝　(Ｃ)＞　(Ｄ)無法比較。,答案：(Ｃ) 解析：52　億　1600　萬＞52　億 ,易,1-3_大數的比較
(   )10000000　的　10　倍□1　兆，□裡要填入　(Ａ)＜　(Ｂ)＝　(Ｃ)＞　(Ｄ)無法比較。,答案：(Ａ) 解析：10000000×10＝100000000，1　億＜1　兆 ,易,1-3_大數的比較
(   )A　國家人口有　23　億人，B　國家人口有　1900000000　人，C　國家人口有　20　億　5300　萬人，下列敘述何者錯誤？　(Ａ)　A　國家人口最多　(Ｂ)　C　國家人口＞B　國家人口　(Ｃ)　C　國家人口沒有超過　2000000000　人　(Ｄ)　B　國家人口是　19　億人。,答案：(Ｃ) 解析：23　億＞20　億　5300　萬＞19　億，所以　A＞C＞B (Ｃ)　C　國家人口有超過　20　億。 ,中,1-3_大數的比較
(   )150000000＜□＜2　億，□內可以填入哪個數？　(Ａ)　11　億　(Ｂ)　1　億　8000　萬　(Ｃ)　1650000000　　(Ｄ)　19000000。,答案：(Ｂ) 解析：1　億　5000　萬＜1　億　8000　萬＜2　億 ,中,1-3_大數的比較
(   )下列哪一個數最大？　(Ａ)　952771699627　(Ｂ)　952772699527　(Ｃ)　952773599527　(Ｄ)　952772599527。,"答案：(Ｃ) 解析：(Ａ)　9527　7169　9627　；(Ｂ)　9527　7269　9527　；
(Ｃ)　9527　7359　9527　；(Ｄ)　9527　7259　9527 億的部分相同，比萬的部分，7359　萬＞7269　萬＞7259萬　＞7169　萬，所以(Ｃ)＞(Ｂ)＞(Ｄ)＞(Ａ) ",易,1-3_大數的比較
(   )下列哪一個數最小？　(Ａ)　1169962796345　　(Ｂ)　1269952797512　(Ｃ)　1359952756324　(Ｄ)　1259952721579。,"答案：(Ａ) 解析：(Ａ)1　1699　6279　6345　；(Ｂ)1　2699　5279　7512　；
(Ｃ)1　3599　5275　6324　；(Ｄ)1　2599　5272　1579 兆位相同，比億的部分，1699　億＜2599　億＜2699億　＜3599　億，所以(Ａ)＜(Ｄ)＜(Ｂ)＜(Ｃ) ",易,1-3_大數的比較
(   )下面有四位富翁，請你看他們的對話，誰的財產最多？小郭: 我有9890億4500萬元老王: 我有99999090999元周董: 我有九千九百億元比爾: 我有980099900000元(Ａ)小郭　(Ｂ)老王　(Ｃ)周董　(Ｄ)比爾。,答案：(Ｃ) 解析：比較億的部分，9900　億＞9890　億＞9800　億＞999　億 ,中,1-3_大數的比較
(   )甲國前年生產棉花　1　億　5000　萬包，去年因自然災害使棉花生產量比前年少了　7550　萬包，去年甲國棉花的生產量是多少包？　(Ａ)　8450　萬包　(Ｂ)　7450　萬包　(Ｃ)　7550　萬包　(Ｄ)　7650　萬包。,答案：(Ｂ) ,中,1-4_以兆、億、萬為單位的計算
(   )一棟豪宅賣　1　億　4300　萬元，陳先生買了　5　棟豪宅，共花了幾元？　(Ａ)　7　億　1500　萬元　(Ｂ)　7　億　2500　萬元　(Ｃ)　7　億　1550　萬元　(Ｄ)　7　億　1650　萬元。,答案：(Ａ) ,中,1-4_以兆、億、萬為單位的計算
(   )和平國的男性人口約有　6　億　8658　萬人，女性人口約有　6　億　5287　萬人，和平國的總人口約有幾人？　(Ａ)　13　億　2945　萬人　(Ｂ)　12　億　3945　萬人　(Ｃ)　13　億　3945　萬人　(Ｄ)　13　億　4945　萬人。,答案：(Ｃ) ,中,1-4_以兆、億、萬為單位的計算
(   )已知鐵球比排球重，下列何者敘述正確？　(Ａ)鐵球的體積一定比較大　(Ｂ)鐵球的體積一定比較小　(Ｃ)兩顆球的體積一樣大　(Ｄ)兩顆球的體積大小無法比較。,答案：(Ｄ) 解析：體積大小與重量無關。 ,中,10-1_大小與體積
(   )3　個衛生紙盒的體積剛好和　15　個正方體一樣大，1　個衛生紙盒和　1　個正方體，哪一個體積比較大？　(Ａ)衛生紙盒　(Ｂ)正方體　(Ｃ)無法比較　(Ｄ)一樣大。,答案：(Ａ) 解析：15÷3＝5 1　個衛生盒＝5　個正方體 ,中,10-1_大小與體積
(   )生活中，一輛遊覽車、一輛腳踏車、一輛轎車和一輛機車，哪一種車體積最小？　(Ａ)轎車　(Ｂ)遊覽車　(Ｃ)腳踏車　(Ｄ)機車。,答案：(Ｃ) ,易,10-1_大小與體積
