input,output,difficulty,chapter
(   )3　個一、5　個十、6　個百和　2　個千合起來是　(Ａ)　3562　(Ｂ)　3652　(Ｃ)　2563　(Ｄ)　2653。,答案：(Ｄ) ,易,1-1_認識10000以內的數
(   )4805　的百位數字是　(Ａ)　4　(Ｂ)　8　(Ｃ)　0　(Ｄ)　5。,答案：(Ｂ) ,易,1-1_認識10000以內的數
(   )「三千零八」記作　(Ａ)　38　(Ｂ)　308　(Ｃ)　3008　(Ｄ)　3080。,答案：(Ｃ) ,中,1-1_認識10000以內的數
(   )比「2398」多　10，是　(Ａ)　2308　(Ｂ)　2408　(Ｃ)　3308　(Ｄ)　2498。,答案：(Ｂ) ,中,1-1_認識10000以內的數
(   )「六千零一」記作　(Ａ)　6010　(Ｂ)　6101　(Ｃ)　6001　(Ｄ)　6110。,答案：(Ｃ) ,中,1-1_認識10000以內的數
(   )5　個千、7　個一和　3　個百合起來的數讀作　(Ａ)五千三百七十　(Ｂ)五千三百零七　(Ｃ)五千七百三十　(Ｄ)五千七百零三。,答案：(Ｂ) ,中,1-1_認識10000以內的數
(   )牧場裡原本有　1357　個自動灑水器，因為缺水而減少了　1000　個自動灑水器的使用，現在剩下多少個自動灑水器可以使用？　(Ａ)　357　個　(Ｂ)　1257　個　(Ｃ)　1457　個　(Ｄ)　2357　個。,答案：(Ａ) 解析：比「1357」少　1000，是　357。 ,中,1-1_認識10000以內的數
(   )吳阿姨在愛心市集義賣口罩，上個周末賣出　3062　個口罩，這個周末再賣出　100　個口罩，共賣出幾個口罩？　(Ａ)　2062　個　(Ｂ)　4062　個　(Ｃ)　2962　個　(Ｄ)　3162　個。,答案：(Ｄ) 解析：比「3062」多　100，是　3162。 ,中,1-1_認識10000以內的數
(   )千位數字是　6、十位數字是　0、百位數字是　7、個位數字是　8，這個數是　(Ａ)　6078　(Ｂ)　8706　(Ｃ)　7680　(Ｄ)　6708。,答案：(Ｄ) ,易,1-1_認識10000以內的數
(   )有一個數的個位數字是　8、十位數字是　6、百位數字是　0、千位數字是　4，比這個數少　10　是　(Ａ)　4058　(Ｂ)　4670　(Ｃ)　4698　(Ｄ)　458。,答案：(Ａ) 解析：個位數字是　8、十位數字是　6、百位數字是　0、千位數字是　4，這個數字是　4068，比「4068」少　10，是　4058。 ,中,1-1_認識10000以內的數
(   )下面哪一個數合起來和　10　個　1000　一樣多？　(Ａ)　9　個千和　9　個十　(Ｂ)　80　個百和　200　個十　(Ｃ)　700　個十和　300　個一　(Ｄ)　40　個十和　600　個一。,答案：(Ｂ) 解析：10　個　1000　合起來是　10000；(Ａ)　9　個千和　9　個十合起來是　9090；(Ｃ)　700　個十和　300　個一合起來是　7300；(Ｄ)　40　個十和　600　個一合起來是　1000。 ,難,1-1_認識10000以內的數
(   )爺爺到醫院做健康檢查，螢幕上顯示現在的號碼是　3012，護理師告訴爺爺：「要再經過　100　個人才會輪到您，可以先坐著休息一下。」爺爺的號碼是幾號？　(Ａ)　3112　號　(Ｂ)　3022　號　(Ｃ)　3002　號　(Ｄ)　2912　號。,答案：(Ａ) 解析：「還要經過　100　個人才會輪到您。」表示現在的號碼再多　100　就是爺爺的號碼，比「3012」多　100，是　3112。 ,中,1-1_認識10000以內的數
(   )阿姨在網路上團購肉乾，一共花了　2356　元。千位數字和百位數字合起來是多少？　(Ａ)　11　(Ｂ)　7　(Ｃ)　5　(Ｄ)　1。,答案：(Ｃ) 解析：千位數字是　2，百位數字是　3，2＋3＝5。 ,易,1-1_認識10000以內的數
(   )28　個百和　28　個十合起來是　(Ａ)　308　(Ｂ)　5600　(Ｃ)　2828　(Ｄ)　3080。,答案：(Ｄ) 解析：28　個百是　2　個千和　8　個百，28　個十是　2　個百和　8　個十，合起來是　2　個千、10　個百和　8　個十，也就是　3　個千和　8　個十，是　3080。 ,難,1-1_認識10000以內的數
(   )3　個千、33　個百和　3　個一合起來是　(Ａ)　3333　(Ｂ)　3603　(Ｃ)六千三百零三　(Ｄ)六千三百三十。,答案：(Ｃ) 解析：33　個百是　3　個千和　3　個百，所以共有　6　個千、3　個百和　3　個一，合起來是　6303，讀作「六千三百零三」。 ,中,1-1_認識10000以內的數
(   )哥哥買一條牛仔褲，付了　15　張百元鈔票和　8　個十元硬幣，這條牛仔褲是多少元？　(Ａ)　1580　元　(Ｂ)　1880　元　(Ｃ)　2300　元　(Ｄ)　2580　元。,答案：(Ａ) 解析：15　張百元鈔票可以換成　1　張千元鈔票和　5　張百元鈔票，所以　15　張百元鈔票和　8　個十元硬幣合起來是　1580　元。 ,中,1-2_點數錢幣
(   )8514、3619、4728　這三個數中，最大的數是　(Ａ)　8514　(Ｂ)　3619　(Ｃ)　4728　(Ｄ)無法比較。,答案：(Ａ) 解析：比較數的大小時，要從高位數字開始比，相同時再依序往下一位比，所以　8514＞4728＞3619。 ,易,1-3_比大小
(   )7105、7051、7501　這三個數中，最小的數是　(Ａ)　7105　(Ｂ)　7051　(Ｃ)　7501　(Ｄ)無法比較。,答案：(Ｂ) 解析：比較數的大小時，要從高位數字開始比，相同時再依序往下一位比，所以　7051＜7105＜7501。 ,易,1-3_比大小
(   )把　3920、3092、3209　這三個數由大到小排列，下面哪一個是正確的？　(Ａ)　3092＞3209＞3920　(Ｂ)　3209＞3920＞3029　(Ｃ)　3920＞3092＞3209　(Ｄ)　3920＞3209＞3092。,答案：(Ｄ) 解析：比較數的大小時，要從高位數字開始比，相同時再依序往下一位比。 ,中,1-3_比大小
(   )用　3、7、5、9　這四個數字排出四位數，在數字不重複的情況下，最小的數是　(Ａ)　9753　(Ｂ)　5397　(Ｃ)　3579　(Ｄ)　7935。,答案：(Ｃ) 解析：用四個數字排出最小的四位數時，越小的數字要放越高位，所以　3579　是排出來最小的數。 ,中,1-3_比大小
(   )用　4、9、0、1　這四張數字卡排出四位數，總共有幾種排法？　(Ａ)　24　種　(Ｂ)　18　種　(Ｃ)　12　種　(Ｄ)　6　種。,答案：(Ｂ) 解析：這四張數字卡要排出四位數，所以　0　不可以放在千位。可以排出的數有　1049、1094、1409、1490、1904、1940、4019、4091、4109、4190、4901、4910、9014、9041、9104、9140、9401、9410，共　18　種。 ,難,1-3_比大小
(   )有一個四位數　6□83，如果這個數比　6800　小，比　6200　大，□不可能是哪個數字？　(Ａ)　2　(Ｂ)　4　(Ｃ)　6　(Ｄ)　8。,答案：(Ｄ) 解析：排列順序要符合　6800＞6□83＞6200； (Ａ)　6800＞6283＞6200，符合； (Ｂ)　6800＞6483＞6200，符合； (Ｃ)　6800＞6683＞6200，符合； (Ｄ)　6800＞6883＞6200，不符合。 ,中,1-3_比大小
(   )下面　4　個數「3208、4922、3872、4099」，哪一個數最大？　(Ａ)　3208　(Ｂ)　4922　(Ｃ)　3872　(Ｄ)　4099。,答案：(Ｂ) 解析：4922＞4099＞3872＞3208 ,易,1-3_比大小
(   )怡雅最近想買一臺電風扇，大大賣場賣　1299　元，俗俗賣五金行賣　1349　元，真便宜超市賣　1249　元，哪一間店最便宜？　(Ａ)大大賣場　(Ｂ)俗俗賣五金行　(Ｃ)真便宜超市　(Ｄ)都一樣便宜。,答案：(Ｃ) 解析：1249＜1299＜1349 ,易,1-3_比大小
(   )下面哪一個數最大？　(Ａ)　990　(Ｂ)　999　(Ｃ)　1000　(Ｄ)　1001。,答案：(Ｄ) ,易,1-3_比大小
(   )下面哪一個數最小？　(Ａ)　9960　(Ｂ)　9069　(Ｃ)　9096　(Ｄ)　9690。,答案：(Ｂ) ,中,1-3_比大小
(   )下面哪一個正確？　(Ａ)　7711＜7171　(Ｂ)　2552＞5225　(Ｃ)　8338＜8383　(Ｄ)　4444＞4640。,答案：(Ｃ) 解析：(Ａ)　7711＞7171；(Ｂ)　2552＜5225；(Ｄ)　4444＜4640。 ,中,1-3_比大小
(   )用　3、8、0、4　這四個數字排出一個四位數，數字不重複。這個四位數最接近　4000，但是比　4000　大，它可能是　(Ａ)　4038　(Ｂ)　8430　(Ｃ)　3840　(Ｄ)　4803。,答案：(Ａ) 解析：這個四位數比　4000　大，所以千位數字要大於或等於　4，可能是　4　或　8，但題目要求最接近　4000，所以千位數字是　4　較為合適。又因為這個數最接近　4000，因此百位到個位數字應該要從小到大排列。 ,難,1-3_比大小
(   )8369＞8□96，□中的數字不可能是　(Ａ)　0　(Ｂ)　1　(Ｃ)　2　(Ｄ)　3。,答案：(Ｄ) 解析：8369＞896；8369＞896；8369＞896；8369＜896。 ,中,1-3_比大小
(   )三角形有幾個角？　(Ａ)　3　個　(Ｂ)　2　個　(Ｃ)　1　個　(Ｄ)　0　個。,答案：(Ａ) ,易,2-1_認識角
(   )角的兩條邊接在一起的地方叫作　(Ａ)頂點　(Ｂ)焦點　(Ｃ)尖點　(Ｄ)尖角。,答案：(Ａ) ,易,2-1_認識角
(   )下面哪一項和角的大小有關？　(Ａ)頂點的位置　(Ｂ)邊的長短　(Ｃ)兩條邊張開的大小　(Ｄ)開口的方向。,答案：(Ｃ) ,中,2-2_角的大小比較
(   )長方形會有下面哪一個特徵？　(Ａ)有　4　個銳角　(Ｂ)有　2　個銳角和　2　個鈍角　(Ｃ)有　2　條一樣長的長邊和　2　條一樣長的短邊　(Ｄ)有　3　條比較長的邊和　2　條比較短的邊。,答案：(Ｃ) ,中,2-4_正方形與長方形
(   )要畫一個正方形要注意什麼？　(Ａ)　4　個角都是直角　(Ｂ)　2　條長邊和　2　條短邊　(Ｃ)　2　個鈍角和　2　個銳角　(Ｄ)　4　條邊都不一樣長。,答案：(Ａ) ,中,2-4_正方形與長方形
