input,output,difficulty,chapter
(   )★÷8＝10　…　◇，已知餘數不是　0，則★可能是多少？　(Ａ)　78　(Ｂ)　80　(Ｃ)　84　(Ｄ)　89。,答案：(Ｃ) 解析：8×10＝80，8×11＝88，商不到　11，所以★不可能是　88，★可能的數是　81、82、83、84、85、86　或　87。 ,難,1-1_二位數除以一位數
(   )△÷4＝23　…□，□可能是多少？　(Ａ)　3　(Ｂ)　4　(Ｃ)　5　(Ｄ)　6。,答案：(Ａ) 解析：餘數一定會比除數小，□＜4。 ,易,1-1_二位數除以一位數
(   )下面哪一個算式剛好可以整除？　(Ａ)　75÷6　(Ｂ)　54÷5　(Ｃ)　84÷7　(Ｄ)　64÷3。,答案：(Ｃ) 解析：(Ａ)　75÷6＝12　…　3；(Ｂ)　54÷5＝10　…　4； (Ｃ)　84÷7＝12　…　0；(Ｄ)　64÷3＝21　…　1 ,中,1-1_二位數除以一位數
(   )穆妍買　7　枝相同的筆花了　91　元，一枝筆賣多少元？　(Ａ)　10　元　(Ｂ)　11　元　(Ｃ)　12　元　(Ｄ)　13　元。,答案：(Ｄ) 解析：91÷7＝13 ,中,1-1_二位數除以一位數
(   )有　77　條魚要放入魚缸中，每個魚缸最多只能放　5　條魚，至少需要幾個魚缸？　(Ａ)　15　個　(Ｂ)　16　個　(Ｃ)　17　個　(Ｄ)　18　個。,答案：(Ｂ) 解析：77÷5＝15　…　2，15＋1＝16 ,中,1-1_二位數除以一位數
(   )魔術師有個神祕數字，這個數除以　7　剛好可以整除，而且是奇數，這個神祕數字可能是下面哪個數？　(Ａ)　98　(Ｂ)　94　(Ｃ)　91　(Ｄ)　89。,答案：(Ｃ) 解析：(Ａ)　98÷7＝14　…　0；(Ｂ)　94÷7＝13　…　3；(Ｃ)　91÷7＝13　…　0；(Ｄ)　89÷7＝12　…　5；選項中剛好可以整除的有　98　和　91，其中是奇數的是　91。 ,中,1-1_二位數除以一位數
(   )把　72　顆彈珠平分給　4　個人，每個人可以分到幾顆？　(Ａ)　8　顆　(Ｂ)　18　顆　(Ｃ)　28　顆　(Ｄ)　9　顆。,答案：(Ｂ) 解析：72÷4＝18 ,易,1-1_二位數除以一位數
(   )爺爺將　80　元平分給　5　個孫子，每個孫子可以分到多少元？　(Ａ)　10　元　(Ｂ)　16　元　(Ｃ)　18　元　(Ｄ)　24　元。,答案：(Ｂ) 解析：80÷5＝16 ,易,1-1_二位數除以一位數
(   )1　個杯子蛋糕賣　6　元，婷婷有　92　元，她最多可以買幾個杯子蛋糕？　(Ａ)　15　個　(Ｂ)　12　個　(Ｃ)　17　個　(Ｄ)　13　個。,答案：(Ａ) 解析：92÷6＝15　…　2 ,中,1-1_二位數除以一位數
(   )除法算式中，當除數是　6　時，餘數最大是多少？　(Ａ)　4　(Ｂ)　5　(Ｃ)　6　(Ｄ)　7。,答案：(Ｂ) 解析：餘數一定小於除數，小於　6　的數字中，最大的是　5。 ,難,1-1_二位數除以一位數
(   )三年一班有　28　個學生，體育老師要大家　2　人一組打羽毛球，至少要借幾顆羽毛球才夠？　(Ａ)　12　顆　(Ｂ)　13　顆　(Ｃ)　14　顆　(Ｄ)　15　顆。,答案：(Ｃ) 解析：28÷2＝14 ,易,1-1_二位數除以一位數
(   )媽媽做了　96　塊手工餅乾，每　6　塊裝成一小袋，可以裝成幾袋？　(Ａ)　16　袋　(Ｂ)　17　袋　(Ｃ)　18　袋　(Ｄ)　19　袋。,答案：(Ａ) 解析：96÷6＝16 ,易,1-1_二位數除以一位數
(   )香香麵包店上午出爐了　53　個蛋塔，每　4　個蛋塔裝成一盒，最多可以裝滿幾盒？　(Ａ)　11　盒　(Ｂ)　12　盒　(Ｃ)　13　盒　(Ｄ)　14　盒。,答案：(Ｃ) 解析：53÷4＝13　…　1 ,中,1-1_二位數除以一位數
(   )美味糕餅店今天出爐了　98　個鳳梨酥，每　8　個裝成一盒，還剩下幾個鳳梨酥？　(Ａ)　1　個　(Ｂ)　2　個　(Ｃ)　3　個　(Ｄ)　4　個。,答案：(Ｂ) 解析：98÷8＝12　…　2 ,中,1-1_二位數除以一位數
(   )森林國小三年級總共有　88　個小朋友，運動會要進行分組競賽，每組的人數都是　8　個人，全部可以分成幾組？　(Ａ)　8　組　(Ｂ)　9　組　(Ｃ)　10　組　(Ｄ)　11　組。,答案：(Ｄ) 解析：88÷8＝11 ,中,1-1_二位數除以一位數
(   )「802÷4」的商是　(Ａ)　10　(Ｂ)　20　(Ｃ)　100　(Ｄ)　200。,答案：(Ｄ)  ,易,1-2_三位數除以一位數
(   )阿姨買　4　瓶一樣的葵花油，花了　880　元，一瓶葵花油是多少元？　(Ａ)　440　元　(Ｂ)　44　元　(Ｃ)　220　元　(Ｄ)　22　元。,答案：(Ｃ) 解析：880÷4＝220 ,中,1-2_三位數除以一位數
(   )有　299　顆糖果，每　3　顆裝成　1　袋，最多可以裝滿幾袋？　(Ａ)　97　袋　(Ｂ)　98　袋　(Ｃ)　99　袋　(Ｄ)　100　袋。,答案：(Ｃ) 解析：299÷3＝99　…　2 ,中,1-2_三位數除以一位數
(   )有一條長　431　公分的緞帶，每　6　公分剪成一段，最後不足　6　公分的那段長度是幾公分？　(Ａ)　2　公分　(Ｂ)　3　公分　(Ｃ)　4　公分　(Ｄ)　5　公分。,答案：(Ｄ) 解析：431÷6＝71　…　5 ,中,1-2_三位數除以一位數
(   )「436÷4」的商是　(Ａ)　19　(Ｂ)　190　(Ｃ)　109　(Ｄ)　901。,答案：(Ｃ)  ,中,1-2_三位數除以一位數
(   )柒一超市　9　瓶汽水賣　405　元，1　瓶汽水是多少元？　(Ａ)　25　元　(Ｂ)　35　元　(Ｃ)　45　元　(Ｄ)　55　元。,答案：(Ｃ) 解析：405÷9＝45 ,中,1-2_三位數除以一位數
(   )小夫想買一架　426　元的飛機模型，他每天存　8　元，最少要存幾天才有足夠的錢買飛機模型？　(Ａ)　51　天　(Ｂ)　52　天　(Ｃ)　53　天　(Ｄ)　54　天。,答案：(Ｄ) 解析：426÷8＝53　…　2，存到第　53　天還差　2　元，所以要再多　1　天，53＋1＝54。 ,難,1-2_三位數除以一位數
(   )一輛遊園車可以載　7　人，車站有　1　位導遊和　103　位遊客同時要搭乘，最少要幾輛遊園車才夠？　(Ａ)　8　輛　(Ｂ)　11　輛　(Ｃ)　15　輛　(Ｄ)　20　輛。,答案：(Ｃ) 解析：1＋103＝104 104÷7＝14　…　6 14＋1＝15 ,中,1-2_三位數除以一位數
(   )姐姐有　279　元，全部都拿來買一本　9　元的筆記本，可以買多少本？　(Ａ)　30　本　(Ｂ)　31　本　(Ｃ)　32　本　(Ｄ)　33　本。,答案：(Ｂ) 解析：279÷9＝31 ,中,1-2_三位數除以一位數
(   )水果店有　326　顆梨子，每　8　顆裝成一盒，最後會剩下幾顆梨子？　(Ａ)　6　顆　(Ｂ)　4　顆　(Ｃ)　2　顆　(Ｄ)　0　顆。,答案：(Ａ) 解析：326÷8＝40　…　6，裝滿　40　盒後，剩下　6　顆 ,中,1-2_三位數除以一位數
(   )勝利國小今年有　135　個新生，編班時要將全部的學生平分成　5　個班級，每個班級會有幾個學生？　(Ａ)　26　個　(Ｂ)　27　個　(Ｃ)　28　個　(Ｄ)　29　個。,答案：(Ｂ) 解析：135÷5＝27 ,易,1-2_三位數除以一位數
(   )罐頭工廠今天上午生產了　585　罐鮪魚罐頭，每　3　罐包裝成一組，可以包裝成幾組？　(Ａ)　195　組　(Ｂ)　197　組　(Ｃ)　199　組　(Ｄ)　201　組。,答案：(Ａ) 解析：585÷3＝195 ,中,1-2_三位數除以一位數
(   )敏芳在書局花了　240　元，買了　6　本相同的筆記本，一本筆記本賣多少元？　(Ａ)　30　元　(Ｂ)　35　元　(Ｃ)　40　元　(Ｄ)　45　元。,答案：(Ｃ) 解析：240÷6＝40 ,易,1-2_三位數除以一位數
(   )純賢和于婷一起去看電影，兩人合買了一份特價　588　元的雙人套票組合，每個人付的錢一樣多，一個人要付幾元？　(Ａ)　292　元　(Ｂ)　294　元　(Ｃ)　296　元　(Ｄ)　298　元。,答案：(Ｂ) 解析：588÷2＝294 ,中,1-2_三位數除以一位數
(   )快樂農場今天採收了　324　顆芒果，全部平分裝成　6　籃，一籃有幾顆芒果？　(Ａ)　55　顆　(Ｂ)　54　顆　(Ｃ)　53　顆　(Ｄ)　52　顆。,答案：(Ｂ) 解析：324÷6＝54 ,中,1-2_三位數除以一位數
(   )1　瓶礦泉水大約是幾毫升？　(Ａ)　6　毫升　(Ｂ)　60　毫升　(Ｃ)　600　毫升　(Ｄ)　6000　毫升。,答案：(Ｃ) ,易,2-1_認識毫升
(   )「mL」也可以用什麼表示？　(Ａ)毫升　(Ｂ)公升　(Ｃ)公克　(Ｄ)公斤。,答案：(Ａ) 解析：公克、公斤是重量單位。 ,易,2-1_認識毫升
(   )一個保溫杯的容量大約是　(Ａ)　48　毫升　(Ｂ)　480　毫升　(Ｃ)　48　公克　(Ｄ)　480　公克。,答案：(Ｂ) 解析：毫升是測量容量的單位，公克是測量重量的單位。 ,易,2-1_認識毫升
(   )歐文用針筒每次吸　10　毫升的水放進量筒中，吸了　10　次，量筒中有多少毫升的水？　(Ａ)　1　毫升　(Ｂ)　10　毫升　(Ｃ)　100　毫升　(Ｄ)　1000　毫升。,答案：(Ｃ) 解析：10　個　10　毫升合起來是　100　毫升。 ,中,2-1_認識毫升
(   )麗淑買了一杯鮮奶茶，如果他想知道這杯鮮奶茶的容量是幾毫升，應該要使用哪一個工具來測量？　(Ａ)捲尺　(Ｂ)磅秤　(Ｃ)量杯　(Ｄ)天平。,答案：(Ｃ) ,中,2-1_認識毫升
(   )敏芳用　250　毫升的熱水沖泡咖啡，宇志用　280　mL　的熱水沖泡咖啡，誰用的熱水比較多？　(Ａ)敏芳　(Ｂ)宇志　(Ｃ)一樣多　(Ｄ)無法比較。,答案：(Ｂ) 解析：250＜280 ,中,2-1_認識毫升
(   )一瓶眼藥水的容量大約是幾毫升？　(Ａ)　10　毫升　(Ｂ)　100　毫升　(Ｃ)　200　毫升　(Ｄ)　300　毫升。,答案：(Ａ) ,易,2-1_認識毫升
(   )沖一次馬桶大約會用掉多少水？　(Ａ)　8　cm　(Ｂ)　8　L　(Ｃ)　8　mL　(Ｄ)　8　m。,答案：(Ｂ) 解析：cm（公分）和　m（公尺）是長度單位，不能計算容量。 ,易,2-2_認識公升
(   )1　瓶洗碗精的容量大約是　(Ａ)　500　毫升　(Ｂ)　50　公升　(Ｃ)　500　公斤　(Ｄ)　50　毫米。,答案：(Ａ) 解析：公斤是測量重量的單位，毫米是測量長度的單位。 ,易,2-2_認識公升
(   )哥哥拿了一個水桶去加水站裝滿水，每天在水壺中裝　1　公升去上課，剛好可以裝　6　天，這個水桶的容量是　(Ａ)　6000　公升　(Ｂ)　600　公升　(Ｃ)　60　公升　(Ｄ)　6　公升。,答案：(Ｄ) 解析：1　天裝　1　公升，6　天裝　6　個　1　公升，合起來是　6　公升。 ,易,2-2_認識公升
(   )一個茶桶的容量是　4600　毫升，也可以說是　(Ａ)　4　公升　6　毫升　(Ｂ)　4　公升　60　毫升　(Ｃ)　4　公升　600　毫升　(Ｄ)　46　公升。,答案：(Ｃ) ,易,2-3_容量的換算與比較
(   )一桶礦泉水的容量是　5　公升　80　毫升，也可以說是　(Ａ)　580　毫升　(Ｂ)　5800　毫升　(Ｃ)　5008　毫升　(Ｄ)　5080　毫升。,答案：(Ｄ) ,易,2-3_容量的換算與比較
(   )一罐優酪乳的容量是　100　毫升，20　罐優酪乳的容量是多少？　(Ａ)　2　公升　(Ｂ)　20　公升　(Ｃ)　200　公升　(Ｄ)　2000　公升。,答案：(Ａ) 解析：1000　毫升是　1　公升，所以　10　罐優酪乳有　1　公升，20　罐優酪乳有　2　公升。 ,中,2-3_容量的換算與比較
(   )冰箱裡有　3　種飲料，一罐鮮奶的容量有　1　公升　500　毫升，一罐果汁的容量有　1850　毫升，汽水的容量比鮮奶多，比果汁少，一罐汽水的容量可能是多少？　(Ａ)　1050　毫升　(Ｂ)　1　公升　780　毫升　(Ｃ)　1　公升　950　毫升　(Ｄ)　1900　毫升。,答案：(Ｂ) 解析：一罐鮮奶的容量有　1　公升　500　毫升，也就是　1500　毫升；汽水的容量在　1500　毫升～1850　毫升之間，也就是　1　公升　500　毫升～1　公升　850　毫升之間。 ,中,2-3_容量的換算與比較
(   )5000　毫升的汽水也可以說是　(Ａ)　5　公升　(Ｂ)　50　公升　(Ｃ)　500　公升　(Ｄ)　5000　公升。,答案：(Ａ) ,易,2-3_容量的換算與比較
(   )4700　毫升的水和幾公升幾毫升的水一樣多？　(Ａ)　4　公升　700　毫升　(Ｂ)　4　公升　70　毫升　(Ｃ)　4　公升　7　毫升　(Ｄ)　47　公升。,答案：(Ａ) ,易,2-3_容量的換算與比較
(   )水桶裡裝了　5078　毫升的水，5078　毫升是幾公升幾毫升？　(Ａ)　50　公升　78　毫升　(Ｂ)　507　公升　8　毫升　(Ｃ)　5　公升　780　毫升　(Ｄ)　5　公升　78　毫升。,答案：(Ｄ) ,中,2-3_容量的換算與比較
(   )6　公升　6　毫升的水和幾毫升的水一樣多？　(Ａ)　66　毫升　(Ｂ)　606　毫升　(Ｃ)　6060　公升　(Ｄ)　6006　毫升。,答案：(Ｄ) ,中,2-3_容量的換算與比較
(   )一瓶梅子綠茶的容量大約是　1200　毫升，也可以說是幾公升幾毫升？　(Ａ)　12　公升　(Ｂ)　1　公升　20　毫升　(Ｃ)　1　公升　200　毫升　(Ｄ)　1　公升　2　毫升。,答案：(Ｃ) ,易,2-3_容量的換算與比較
(   )A　牌鮮乳的容量是　1890　毫升，B　牌鮮乳的容量是　1　公升　890　毫升，哪一個品牌鮮乳的容量比較多？　(Ａ)　A　牌　(Ｂ)　B　牌　(Ｃ)一樣多　(Ｄ)無法比較。,答案：(Ｃ) 解析：1890　毫升＝1　公升　890　毫升，所以　A　牌鮮乳和　B　牌鮮乳的容量一樣多。 ,中,2-3_容量的換算與比較
