input,output,difficulty,chapter
(   )柱體有兩個怎麼樣的底面？　(Ａ)平行且面不一樣大　(Ｂ)平行且全等　(Ｃ)垂直且全等　(Ｄ)不一定。,"答案：(Ｂ) 解析：形體像柱子，稱為柱體；
柱體的上、下底面都是多邊形，稱為角柱；
柱體的上、下底面都是圓形，稱為圓柱。 ",易,10-1_立體形體的分類
(   )角錐的底面一定是什麼形狀？　(Ａ)多邊形　(Ｂ)圓形　(Ｃ)三角形　(Ｄ)長方形。,答案：(Ａ) 解析：錐體的底面是多邊形，稱為角錐。 ,易,10-1_立體形體的分類
(   )柱體的命名是根據什麼？　(Ａ)底面的形狀　(Ｂ)側面的形狀　(Ｃ)有幾個面　(Ｄ)有幾個頂點。,答案：(Ａ) 解析：柱體的命名是根據底面的多邊形邊數。 ,難,10-1_立體形體的分類
(   )下列是關於「錐體」的敘述，何者正確？　(Ａ)錐體的底面都是圓形　(Ｂ)錐體有兩個底面　(Ｃ)錐體的頂端有一個尖尖的頂點　(Ｄ)錐體的形體像柱子。,"答案：(Ｃ) 解析：(Ａ)錐體的底面是多邊形或圓形；
(Ｂ)錐體有　1　個底面；
(Ｄ)柱體的形體像柱子。 ",易,10-1_立體形體的分類
(   )下列是關於「角柱」的敘述，何者正確？　(Ａ)側面是全等的三角形　(Ｂ)如果底面是五邊形，側面就有　10　個長方形　(Ｃ)底面是兩個全等的多邊形　(Ｄ)只有　1　個底面。,"答案：(Ｃ) 解析：(Ａ)側面是長方形；
(Ｂ)如果底面是五邊形，側面就有　5　個長方形；
(Ｄ)有　2　個底面。 ",中,10-2_柱體
(   )「有　2　個底面是全等的正六邊形，側面是互相全等的長方形」，符合上面的描述是下列哪一個立體形體？　(Ａ)四角錐　(Ｂ)六角錐　(Ｃ)四角柱　(Ｄ)六角柱。,"答案：(Ｄ) 解析：六角柱有　2　個底面，底面是全等的正六邊形，
側面形狀是全等的長方形。 ",易,10-2_柱體
(   )圓柱的兩個底面是下列哪一種圖形？　(Ａ)圓形　(Ｂ)扇形　(Ｃ)長方形　(Ｄ)三角形。,答案：(Ａ) 解析：圓柱有　2　個底面，底面是圓形。 ,易,10-2_柱體
(   )下列哪一個形體的展開圖中沒有長方形？　(Ａ)三角柱　(Ｂ)五角柱　(Ｃ)圓錐　(Ｄ)六角柱。,答案：(Ｃ) 解析：(Ａ)三角柱展開圖有　2　個三角形底面和　3　個長方形側面； (Ｂ)五角柱展開圖有　2　個五邊形底面和　5　個長方形側面； (Ｃ)圓錐展開圖有　1　個圓形底面和　1　個扇形側面； (Ｄ)六角柱展開圖有　2　個六邊形底面和　6　個長方形側面。 ,易,10-3_錐體
(   )哪一個形體的側面有　4　個三角形？　(Ａ)三角錐　(Ｂ)三角柱　(Ｃ)四角錐　(Ｄ)四角柱。,"答案：(Ｃ) 解析：(Ａ)三角錐的側面有　3　個三角形；
(Ｂ)三角柱的側面有　3　個長方形；
(Ｃ)四角錐的側面有　4　個三角形；
(Ｄ)四角柱的側面有　4　個長方形。 ",易,10-3_錐體
(   )「角錐」和「角柱」的共同點是什麼？　(Ａ)側面都是長方形　(Ｂ)側面的數量＝底面的邊數　(Ｃ)有兩個全等的多邊形底面　(Ｄ)至少有一個圓形的面。,答案：(Ｂ) 解析：(Ａ)角錐的側面都是三角形，角柱的側面都是長方形； (Ｂ)角錐和角柱側面的數量等於底面的邊數； (Ｃ)角錐有　1　個多邊形底面，角柱有　2　個多邊形底面； (Ｄ)角錐和角柱都不會有一個圓形的面。 ,中,10-3_錐體
(   )圓錐的側面展開後是下面哪一個圖形？　(Ａ)長方形　(Ｂ)圓形　(Ｃ)扇形　(Ｄ)三角形。,答案：(Ｃ) 解析：圓錐展開圖是由　1　個扇形側面和　1　個圓形底面組合而成的。 ,易,10-3_錐體
(   )六角柱有幾個頂點？　(Ａ)　6　個　(Ｂ)　7　個　(Ｃ)　12　個　(Ｄ)　18　個。,"答案：(Ｃ) 解析：六角柱的底面是六邊形，
一個底面邊數有　6　個邊，頂點數是　6×2。 ",易,10-4_立體形體的頂點、邊、面的數量
(   )下列哪一個形體有　8　個頂點？　(Ａ)四角錐　(Ｂ)七角錐　(Ｃ)五角柱　(Ｄ)八角柱。,"答案：(Ｂ) 解析：(Ａ)四角錐有　5　個頂點；(Ｂ)七角錐有　8　個頂點；
(Ｃ)五角柱有　10　個頂點；(Ｄ)八角柱有　16　個頂點。 ",易,10-4_立體形體的頂點、邊、面的數量
(   )六角錐有幾個邊？　(Ａ)　6　個　(Ｂ)　9　個　(Ｃ)　12　個　(Ｄ)　18　個。,"答案：(Ｃ) 解析：六角錐的底面是六邊形，底面邊數有　6　個邊，
邊數是　6×2。 ",易,10-4_立體形體的頂點、邊、面的數量
(   )下面哪一個形體的頂點數最少？　(Ａ)四角柱　(Ｂ)五角柱　(Ｃ)六角錐　(Ｄ)六角柱。,"答案：(Ｃ) 解析：(Ａ)四角柱有　8　個頂點；(Ｂ)五角柱有　10　個頂點；
(Ｃ)六角錐有　7　個頂點；(Ｄ)六角柱有　12　個頂點。 ",中,10-4_立體形體的頂點、邊、面的數量
(   )下列是關於「四角柱」和「四角錐」的敘述，何者錯誤？　(Ａ)四角柱的邊數比四角錐的邊數多　(Ｂ)四角柱的側面數量和四角錐的側面數量一樣多　(Ｃ)四角柱的頂點數比四角錐的頂點數多　(Ｄ)四角柱的面數和四角錐的面數一樣多。,答案：(Ｄ) 解析：(Ａ)四角柱的邊數有　12　個，四角錐的邊數有　8　個； (Ｂ)四角柱的側面數量有　4　個，四角錐的側面數量有　4　個； (Ｃ)四角柱的頂點數有　8　個，四角錐的頂點數有　5　個； (Ｄ)四角柱的面數有　6　個，四角錐的面數有　5　個。 ,中,10-4_立體形體的頂點、邊、面的數量
(   )下列哪一個形體的邊數最多？　(Ａ)五角柱　(Ｂ)五角錐　(Ｃ)六角錐　(Ｄ)七角錐。,"答案：(Ａ) 解析：(Ａ)五角柱的邊數有　15　個；
(Ｂ)五角錐的邊數有　10　個；
(Ｃ)六角錐的邊數有　12　個；
(Ｄ)七角錐的邊數有　14　個。 ",中,10-4_立體形體的頂點、邊、面的數量
(   )下列是有關角錐的敘述，何者錯誤？　(Ａ)頂點數＝底面邊數×2　　(Ｂ)邊數＝底面邊數×2　　(Ｃ)面數＝底面邊數＋1　　(Ｄ)側面個數＝底面邊數。,答案：(Ａ) 解析：(Ａ)頂點數＝底面邊數＋1 ,中,10-4_立體形體的頂點、邊、面的數量
(   )下列是有關八角柱的敘述，何者正確？　(Ａ)有　9　個頂點　(Ｂ)有　2　個底面　(Ｃ)有　16　個邊　(Ｄ)有　10　個側面。,答案：(Ｂ) 解析：(Ａ)有　16　個頂點；(Ｃ)有　24　個邊；(Ｄ)有　8　個側面 ,中,10-4_立體形體的頂點、邊、面的數量
(   )關於球體的球心敘述，哪一項是錯的？　(Ａ)球心是球體的圓心　(Ｂ)球心只有一個　(Ｃ)任何一個截面的圓心就是球心　(Ｄ)球心和沿著球最胖方向切出來的截面圓心是同一點。,答案：(Ｃ) 解析：(Ｃ)沿球體最「胖」的方向切開，切出來的截面是最大的圓，圓心就是球心。 ,中,10-5_球體
(   )不管從哪一個方向切，球的截面都是什麼形狀？　(Ａ)橢圓形　(Ｂ)半圓形　(Ｃ)圓形　(Ｄ)扇形。,答案：(Ｃ) ,易,10-5_球體
(   )從球體的球心到截面圓周上的點，這段距離是球體的　(Ａ)直徑　(Ｂ)半徑　(Ｃ)圓周　(Ｄ)圓弧。,答案：(Ｂ) ,易,10-5_球體
(   )球截面圓周上的點到球心的距離稱為　(Ａ)半徑　(Ｂ)直徑　(Ｃ)切線　(Ｄ)截線。,答案：(Ａ) ,易,10-5_球體
(   )將一顆乒乓球切開，切開後可以發現截面是什麼形狀？　(Ａ)長方形　(Ｂ)三角形　(Ｃ)圓形　(Ｄ)正方形。,答案：(Ｃ) 解析：不管從哪個方向切，球的截面都是圓形。 ,易,10-5_球體
(   )每個面的面積都是　16　平方公分的正方體，體積是多少立方公分？(Ａ)　64　立方公分　(Ｂ)　74　立方公分　(Ｃ)　84　立方公分　(Ｄ)　94　立方公分。,答案：(Ａ) 解析：16=4×4，4×4×4＝64 ,易,2-1_長方體和正方體的體積
(   )關於體積的計算，下列敘述何者正確？　(Ａ)正方體體積＝邊長×邊長×6　　(Ｂ)正方體體積＝邊長×3　　(Ｃ)長方體體積＝長×寬×高　(Ｄ)長方體體積＝長×寬×6。,答案：(Ｃ) 解析：正方體體積＝邊長×邊長×邊長 ,易,2-1_長方體和正方體的體積
(   )邊長　12　公分的正方體，體積是多少立方公分？　(Ａ)　1728　立方公分　(Ｂ)　1278　立方公分　(Ｃ)　864　立方公分　(Ｄ)　576　立方公分。,答案：(Ａ) 解析：12×12×12＝1728 ,中,2-1_長方體和正方體的體積
(   )長方體的長、寬均為　13　公分，高為　6　公分，體積是多少立方公分？　(Ａ)　32　立方公分　(Ｂ)　78　立方公分　(Ｃ)　468　立方公分　(Ｄ)　1014　立方公分。,答案：(Ｄ) 解析：13×13×6＝1014 ,中,2-1_長方體和正方體的體積
(   )長方體大貨櫃的內部長是　500　公分，寬是　300　公分，高是　200　公分，正方體箱子的邊長是　100　公分，一個長方體大貨櫃的體積和幾個正方體箱子一樣大？　(Ａ)　10　個　(Ｂ)　15　個　(Ｃ)　30　個　(Ｄ)　60　個。,答案：(Ｃ) 解析：500÷100＝5，300÷100＝3， 200÷100＝2，5×3×2＝30 ,難,2-1_長方體和正方體的體積
(   )邊長　30　公分的正方體，體積是多少立方公分？　(Ａ)　30　立方公分　(Ｂ)　120　立方公分　(Ｃ)　900　立方公分　(Ｄ)　27000　立方公分。,答案：(Ｄ) 解析：30×30×30＝27000 ,易,2-1_長方體和正方體的體積
(   )邊長　40　公分的正方體木塊和長　50　公分、寬　10　公分、高　20　公分的長方體鐵塊，哪一個的體積比較大？　(Ａ)木塊　(Ｂ)鐵塊　(Ｃ)一樣大　(Ｄ)不能比較。,答案：(Ａ) 解析：40×40×40＝64000，50×10×20＝10000， 64000＞10000 ,中,2-1_長方體和正方體的體積
(   )一個邊長　8　公分的正方體，體積是多少立方公分？　(Ａ)　512　立方公分　(Ｂ)　522　立方公分　(Ｃ)　532　立方公分　(Ｄ)　542　立方公分。,答案：(Ａ) 解析：8×8×8＝512 ,易,2-1_長方體和正方體的體積
(   )有一個長方體，長　9　公分，寬　5　公分，高　4　公分，體積是多少立方公分？　(Ａ)　180　立方公分　(Ｂ)　190　立方公分　(Ｃ)　200　立方公分　(Ｄ)　210　立方公分。,答案：(Ａ) 解析：9×5×4＝180 ,易,2-1_長方體和正方體的體積
(   )有甲、乙兩正方體，甲正方體體積的　8　倍是乙正方體體積，已知乙正方體的體積是　1728　立方公分，甲正方體的體積是多少立方公分？　(Ａ)　206　立方公分　(Ｂ)　216　立方公分　(Ｃ)　18324　立方公分　(Ｄ)　13824　立方公分。,答案：(Ｂ) 解析：1728÷8＝216 ,中,2-1_長方體和正方體的體積
(   )有一個正方體，體積比　216　立方公分大，又比　729　立方公分小，這個正方體的邊長可能是多少公分？　(Ａ)　3　公分　(Ｂ)　5　公分　(Ｃ)　7　公分　(Ｄ)　11　公分。,答案：(Ｃ) 解析：216＝6×6×6，729＝9×9×9，正方體的邊長可能是　7　公分或　8　公分 ,難,2-1_長方體和正方體的體積
(   )甲形體是由　34　個邊長　3　公分的正方體組合而成，甲形體的體積是多少立方公分？　(Ａ)　102　立方公分　(Ｂ)　306　立方公分　(Ｃ)　818　立方公分　(Ｄ)　918　立方公分。,答案：(Ｄ) 解析：3×3×3×34＝918 ,中,2-1_長方體和正方體的體積
(   )一個長　10　公分、寬　5　公分、高　15　公分的長方體，可以由多少個邊長　5　公分的正方體積木所組合而成？　(Ａ)　4　個　(Ｂ)　5　個　(Ｃ)　6　個　(Ｄ)　7　個。,答案：(Ｃ) 解析：10÷5＝2，5÷5＝1，15÷5＝3，2×1×3＝6 ,中,2-1_長方體和正方體的體積
(   )一個長　20　公分、寬　15　公分、高　12　公分的長方體，體積是多少立方公分？　(Ａ)　3000　立方公分　(Ｂ)　420　立方公分　(Ｃ)　3600　立方公分　(Ｄ)　4200　立方公分。,答案：(Ｃ) 解析：20×15×12＝3600 ,易,2-1_長方體和正方體的體積
