input,output,difficulty,chapter
(   )「10、9、□、7」，按照順序數一數，□中要填入哪一個數字？　(Ａ)　5　(Ｂ)　6　(Ｃ)　8。,答案：(Ｃ) 解析：從　10　開始倒著數。 ,易,3-1_數的順序
(   )排路隊時，美華排在第　5　個，按照下面的敘述，誰排在她的前面？　(Ａ)小英排在第　7　個　(Ｂ)仔仔排在第　10　個　(Ｃ)小偉排在第　4　個。,答案：(Ｃ) 解析：第　1～4　個排在美華的前面；第　6～10　個排在美華的後面。 ,難,3-2_第幾個
(   )排隊量身高時，小奇排在第　8　個，按照下面的敘述，誰排在他的後面？　(Ａ)莉莉排在第　7　個　(Ｂ)小風排在第　9　個　(Ｃ)小貞排在第　6　個。,答案：(Ｂ) 解析：第　1～7　個排在小奇的前面；第　9～10　個排在小奇的後面。 ,難,3-2_第幾個
(   )下面哪一盤的櫻桃比　8　顆多？　(Ａ)甲盤：9　顆櫻桃　(Ｂ)乙盤：6　顆櫻桃　(Ｃ)丙盤：1　顆櫻桃。,答案：(Ａ) ,難,3-3_比多少
(   )將　10　朵花包成兩束，一束有　4　朵，另一束有幾朵？　(Ａ)　4　朵　(Ｂ)　5　朵　(Ｃ)　6　朵。,答案：(Ｃ) 解析： 10　朵可以分成　4　朵和　6　朵，所以有　6　朵。 ,難,4-4_分與合
(   )將　10　顆巧克力包成兩袋，一袋有　8　顆，另一袋有幾顆？　(Ａ)　1　顆　(Ｂ)　2　顆　(Ｃ)　3　顆。,答案：(Ｂ) 解析： 10　顆可以分成　8　顆和　2　顆，所以有　2　顆。 ,中,4-4_分與合
(   )6　片餅乾和多少片餅乾，合起來是　10　片餅乾？ (Ａ)　6　片　(Ｂ)　5　片　(Ｃ)　4　片。,答案：(Ｃ) 解析：6　和　4　合起來是　10。 ,中,4-4_分與合
(   )7　顆糖果和多少顆糖果，合起來是　10　顆糖果？(Ａ)　2　顆　(Ｂ)　3　顆　(Ｃ)　6　顆。,答案：(Ｂ) 解析：7　和　3　合起來是　10。 ,中,4-4_分與合
(   )電線桿上有　6　隻小鳥，又飛來　2　隻，電線桿上一共有幾隻小鳥？ (Ａ)　6　隻　(Ｂ)　7　隻　(Ｃ)　8　隻。,答案：(Ｃ) 解析：6＋2＝8 ,易,6-1_加法算式
(   )5　隻鴨子在玩水，又來了　4　隻，全部有幾隻鴨子？ (Ａ)　9　隻　(Ｂ)　8　隻　(Ｃ)　7　隻。,答案：(Ａ) 解析：5＋4＝9 ,易,6-1_加法算式
(   )媽媽先烤　2　個蛋糕，再烤　3　個蛋糕，媽媽總共烤了幾個蛋糕？ (Ａ)　4　個　(Ｂ)　5　個　(Ｃ)　6　個。,答案：(Ｂ) 解析：2＋3＝5 ,易,6-1_加法算式
(   )灰姑娘洗了　3　個碗，還有　2　個碗沒洗，她一共要洗幾個碗？下面哪一個算式是對的？　(Ａ)　4＋5＝9　(Ｂ)　1＋7＝8　(Ｃ)　3＋2＝5。,答案：(Ｃ) ,難,6-1_加法算式
