input,output,difficulty,chapter
(   )媽媽從銀行領出了　30　張　1000　元和　12　張　100　元，媽媽共領了多少元？　(Ａ)　30012　元　(Ｂ)　30120　元　(Ｃ)　301200　元　(Ｄ)　31200　元。,答案：(Ｄ) 解析：30　張　1000　元是　30000　元，12　張　100　元是　1200　元，合起來是　31200　元。 ,中,1-1_十萬以內的數
(   )16925　是由哪些數合起來的？　(Ａ)　1　個萬、69　個百、2　個十和　5　個一　(Ｂ)16　個千、19　個百、5　個十和　2　個一　(Ｃ)　1　個萬、9　個千、6　個百、2　個十和　5　個一　(Ｄ)　196　個百、2　個十和　5　個一。,答案：(Ａ) 解析：(Ａ)　16925；(Ｂ)　17952；(Ｃ)　19625；(Ｄ)　19625。 ,難,1-1_十萬以內的數
(   )62702　中，2　是　2　的幾倍？　(Ａ)　10　倍　(Ｂ)　100　倍　(Ｃ)　1000　倍　(Ｄ)　10000　倍。,答案：(Ｃ) 解析：62702　中，2　是　2000，2　代表　2，2000　是　2　的　1000　倍。 ,中,1-1_十萬以內的數
(   )15　張千元鈔票和　23　張百元鈔票，合起來是多少元？　(Ａ)　1523　元　(Ｂ)　15230　元　(Ｃ)　1730　元　(Ｄ)　17300　元。,答案：(Ｄ) 解析：15000＋2300＝17300 ,中,1-1_十萬以內的數
(   )3□768＜33466，□中可填入哪一個數字？　(Ａ)　2　(Ｂ)　3　(Ｃ)　4　(Ｄ)　5。,答案：(Ａ) 解析：□＜3，□可填入　0、1、2。 ,中,1-1_十萬以內的數
(   )下列何者是　28650　的正確讀法？　(Ａ)二萬八千六百五十　(Ｂ)五萬八千六百　(Ｃ)二萬八千六百四十　(Ｄ)三萬八千六百五十。,答案：(Ａ) 解析：(Ｂ)58600；(Ｃ)28640；(Ｄ)38650。 ,中,1-1_十萬以內的數
(   )下列何者讀作八萬三千零八十？　(Ａ)　83080　(Ｂ)　8308　(Ｃ)　83800　(Ｄ)　8380。,答案：(Ａ) 解析：(Ｂ)八千三百零八；(Ｃ)八萬三千八百；(Ｄ)八千三百八十。 ,中,1-1_十萬以內的數
(   )10　個千和　100　個百一樣大，都是表示　(Ａ)　100　(Ｂ)　1000　(Ｃ)　10000　(Ｄ)　100000。,答案：(Ｃ) 解析：10　個千和　100　個百都等於　1　個萬。 ,中,1-1_十萬以內的數
(   )56789　中有幾個　10000？　(Ａ)　9　(Ｂ)　6　(Ｃ)　8　(Ｄ)　5。,答案：(Ｄ) 解析：56789　的萬位數字是　5，表示有　5　個　10000。 ,易,1-1_十萬以內的數
(   )爸爸去買電視，付了　35　張　1000　元，剛好花完，這臺電視的售價是多少元？　(Ａ)　1035　元　(Ｂ)　3500　元　(Ｃ)　35000　元　(Ｄ)　350000　元。,答案：(Ｃ) ,易,1-1_十萬以內的數
(   )100000　中，「1」代表的位值是　(Ａ)十萬位　(Ｂ)萬位　(Ｃ)千位　(Ｄ)百位。,答案：(Ａ) ,易,1-1_十萬以內的數
