input,output,difficulty,chapter
(   )小熊的衣服比小貓大，小兔的衣服比小貓小，誰的衣服最小？　(Ａ)小熊　(Ｂ)小貓　(Ｃ)小兔。,答案：(Ｃ) 解析：衣服大小是：小熊＞小貓＞小兔。 ,中,10-1_面的直接比較
(   )按照數的順序數數看，160－□－140－130，□中的數是多少？　(Ａ)　150　(Ｂ)　156　(Ｃ)　159。,答案：(Ａ) 解析：從　160　往下　10　個一數，是　150。 ,中,1-1_數到200
(   )189－188－□－186－185，□中的數是多少？　(Ａ)　178　(Ｂ)　180　(Ｃ)　187。,答案：(Ｃ) 解析：從　188　往下　1　個一數，是　187。 ,中,1-1_數到200
(   )比　149　多　1　的數是　(Ａ)　148　(Ｂ)　149　(Ｃ)　150。,答案：(Ｃ) 解析：從　149　往上數　1，是　150。 ,易,1-1_數到200
(   )199　再多　1　是多少？　(Ａ)　197　(Ｂ)　198　(Ｃ)　200。,答案：(Ｃ) 解析：199　往上數　1　是　200。 ,易,1-1_數到200
(   )「一百一十九」用數字記作　(Ａ)　191　(Ｂ)　119　(Ｃ)　109。,答案：(Ｂ) ,易,1-1_數到200
(   )按照數的順序數數看，140－□－120－110，　□　中的數是多少？　(Ａ)　139　(Ｂ)　135　(Ｃ)　130。,答案：(Ｃ) 解析：從　140　往下　10　個一數，是　130。 ,中,1-1_數到200
(   )從　1　開始數　2、3、4……到　200，下面三個數中哪一個數會先數到？　(Ａ)　187　(Ｂ)　117　(Ｃ)　99。,答案：(Ｃ) ,易,1-1_數到200
(   )年貨大街有　102　個攤位。102　個再增加　1　個是幾個？(Ａ)　101　個　(Ｂ)　103　個　(Ｃ)　100　個。,答案：(Ｂ) 解析：102　往上數　1，是　103。 ,中,1-1_數到200
(   )棉花糖攤位已經賣出　190　包棉花糖。190　包再賣出　10　包是賣出多少包？(Ａ)　191　包　(Ｂ)　199　包　(Ｃ)　200　包。,答案：(Ｃ) 解析：190　往上數　10，是　200。 ,中,1-1_數到200
(   )從　1　開始數　2、3、4……到　200，下面三個數中哪一個數會最後數到？　(Ａ)　99　(Ｂ)　139　(Ｃ)　171。,答案：(Ｃ) ,中,1-1_數到200
(   )200　中，數字　2　表示　(Ａ)　2　個一　(Ｂ)　2　個十　(Ｃ)　2　個百。,答案：(Ｃ) 解析：200　是　2　個百、0　個十和　0　個一合起來的。數字　2　在「百位」，表示　2　個百。 ,中,1-2_位值與化聚
(   )172　中的十位數字是　7，表示有　7　個　(Ａ)百　(Ｂ)十　(Ｃ)一。,答案：(Ｂ) 解析：172　是　1　個百、7　個十和　2　個一合起來的。 ,中,1-2_位值與化聚
(   )108　的十位數字是多少？　(Ａ)　1　(Ｂ)　0　(Ｃ)　8。,答案：(Ｂ) 解析：「十位」用來表示有幾個十，108　是　1　個百、0　個十和　8　個一合起來的，十位數字是　0。 ,中,1-2_位值與化聚
(   )127　中的數字　7　在個位，表示　(Ａ)　70　(Ｂ)　7　(Ｃ)　27。,答案：(Ｂ) 解析：127　是　1　個百、2　個十和　7　個一合起來的。7　個一表示　7。 ,中,1-2_位值與化聚
(   )105　中的　0　表示　(Ａ)　0　個百　(Ｂ)　0　個十　(Ｃ)　0　個一。,答案：(Ｂ) 解析：105　是　1　個百、0　個十和　5　個一合起來的。所以　0　表示　0　個十。 ,中,1-2_位值與化聚
(   )1　個百、6　個十和　5　個一合起來是　(Ａ)　165　(Ｂ)　156　(Ｃ)　166。,答案：(Ａ) 解析：100　往上數　6　個十，是　160。再從　160　往上數　5　個一，是　165。 ,易,1-2_位值與化聚
(   )19　個十合起來是多少？　(Ａ)　190　(Ｂ)　109　(Ｃ)　90。,答案：(Ａ) 解析：19　個十可以換成　1　個百和　9　個十，所以　19　個十合起來是　190。 ,中,1-2_位值與化聚
(   )173　的數字　7　和下面哪一個數的數字　7　的位值是一樣的？　(Ａ)　137　(Ｂ)　17　(Ｃ)　179。,答案：(Ｃ) 解析：173　的　7　在十位，表示有幾個十。137　和　17　的　7　在個位，表示有幾個一，179　的　7　在十位。 ,中,1-2_位值與化聚
