input,output,difficulty,chapter
(   )下列哪一個數是質數？　(Ａ)　1　(Ｂ)　2　(Ｃ)　16　(Ｄ)　39。,答案：(Ｂ) 解析：1　不是質數，也不是合數；2　的因數只有　1　和　2。 ,易,1-1_質數與合數
(   )1　到　20　的整數中，所有質數的和是　(Ａ)　58　(Ｂ)　75　(Ｃ)　77　(Ｄ)　78。,答案：(Ｃ) 解析：1　到　20　的質數為　2、3、5、7、11、13、17、19；2＋3＋5＋7＋11＋13＋17＋19＝77 ,中,1-1_質數與合數
(   )x＝72，如果從下列各數中找出兩個質數的和，再和　x　相加，和可能是多少？　72　11　7　27　13　78　2　5　1　(Ａ)　75　(Ｂ)　79　(Ｃ)　100　(Ｄ)　151。,答案：(Ｂ) 解析：質數為　11、7、13、2、5 任兩個質數和：18、24、13、16、20、9、12、15、7 可能的和：90、96、85、88、92、81、84、87、79 ,難,1-1_質數與合數
(   )41　到　60　的整數中，有幾個合數？　(Ａ)　12　個　(Ｂ)　14　個　(Ｃ)　15　個　(Ｄ)　18　個。,答案：(Ｃ) 解析：41　到　60　的合數：42、44、45、46、48、49、50、51、52、54、55、56、57、58、60，共　15　個。 ,中,1-1_質數與合數
(   )最小的質數和最小的合數加起來是多少？　(Ａ)　3　(Ｂ)　5　(Ｃ)　6　(Ｄ)　7。,答案：(Ｃ) 解析：最小的質數是　2，最小的合數是　4；2＋4＝6 ,中,1-1_質數與合數
(   )下列哪一個數不是合數？　(Ａ)　21　(Ｂ)　23　(Ｃ)　25　(Ｄ)　27。,答案：(Ｂ) 解析：23　的因數只有　1　和　23，是質數。 ,易,1-1_質數與合數
(   )將數用質數與合數來分類，下列哪一個數與其他三者不同？　(Ａ)　11　(Ｂ)　21　(Ｃ)　31　(Ｄ)　41。,答案：(Ｂ) 解析：21　是合數，11、31、41　是質數。 ,中,1-1_質數與合數
(   )下列哪一個數是質數？　(Ａ)　1　(Ｂ)　5　(Ｃ)　6　(Ｄ)　9。,答案：(Ｂ) 解析：1　不是質數，也不是合數；5　的因數只有　1　和　5。 ,易,1-1_質數與合數
(   )下列哪一個數既不是質數，也不是合數？　(Ａ)　1　(Ｂ)　2　(Ｃ)　3　(Ｄ)　4。,答案：(Ａ) 解析：1　只有一個因數，就是它自己，所以不符合質數和合數的定義。 ,易,1-1_質數與合數
(   )下列哪一個數是最小的合數？　(Ａ)　2　(Ｂ)　4　(Ｃ)　5　(Ｄ)　9。,答案：(Ｂ) 解析：1　不是質數，也不是合數；2、3　都是質數；4　的因數有　1　和它自己以外，還有　2，所以是最小的合數。 ,中,1-1_質數與合數
(   )下列哪一個數是合數？　(Ａ)　13　(Ｂ)　15　(Ｃ)　17　(Ｄ)　19。,答案：(Ｂ) 解析：15　的因數有　1、3、5、15，是合數。 ,易,1-1_質數與合數
(   )下列哪一個數不是合數？　(Ａ)　101　(Ｂ)　205　(Ｃ)　512　(Ｄ)　723。,答案：(Ａ) 解析：205　有因數　5；512　有因數　2；723　有因數　3。 ,中,1-1_質數與合數
