input,output,difficulty,chapter
(   )1 / 2讀作什麼？　(Ａ)二一　(Ｂ)一分之二　(Ｃ)二分之一。,答案：(Ｃ) ,易,10-2_二分之一和四分之一
(   )二分之一記作什麼？　(Ａ)　1/2　(Ｂ)　21　(Ｃ)　2/1。,答案：(Ａ) ,易,10-2_二分之一和四分之一
(   )把　1　塊蛋糕等分成　4　份，其中的　1　份是幾塊蛋糕？(Ａ)　4/1塊　(Ｂ)　1/4塊　(Ｃ)　1　塊。,答案：(Ｂ) ,易,10-2_二分之一和四分之一
(   )把　1　條緞帶等分成　2　段，其中的　1　段是幾條緞帶？(Ａ)　1　條　(Ｂ)　2/1條　(Ｃ)　1/2條。,答案：(Ｃ) ,易,10-2_二分之一和四分之一
(   )爸爸買了　1　個蛋糕，他和媽媽一人吃一半，媽媽吃了幾個蛋糕？(Ａ)　1　個　(Ｂ)　1/2個　(Ｃ)　2　個。,答案：(Ｂ) ,中,10-2_二分之一和四分之一
(   )1　個披薩等分成　3　片，弟弟吃了其中的　1　片，是吃了幾個披薩？(Ａ)　1/3個　(Ｂ)　1　個　(Ｃ)　3/1個。,答案：(Ａ) ,易,10-2_二分之一和四分之一
(   )1/4讀作什麼？　(Ａ)一分之四　(Ｂ)四分之一　(Ｃ)一和四。,答案：(Ｂ) 解析：(Ａ)　4/1；(Ｃ)　1、4 ,中,10-2_二分之一和四分之一
(   )把　1　張紙對摺　1　次後，再對摺　1　次，其中　1　份是幾張紙？　(Ａ)　1/2張　(Ｂ)　1/4張　(Ｃ)　1　張。,答案：(Ｂ) 解析：→一張紙 →對摺　1　次，是　1/2　張紙 →再對摺　1　次，是　1/4　張紙 ,中,10-2_二分之一和四分之一
(   )1/4　塊麵包的　4　是什麼意思？　(Ａ)　4　塊麵包　(Ｂ)把　1　塊麵包等分成　4　份　(Ｃ)有　4　種不同的麵包。,答案：(Ｂ) ,中,10-2_二分之一和四分之一
(   )1/4　片巧克力的　1　是什麼意思？　(Ａ)　1　片巧克力　(Ｂ)　4　片巧克力中的其中　1　片　(Ｃ)　1　片巧克力等分成　4　份的其中　1　份。,答案：(Ｃ) ,中,10-2_二分之一和四分之一
(   )四分之一記作　(Ａ)　4、1　(Ｂ)　1/4　(Ｃ)　4/1。,答案：(Ｂ) ,易,10-2_二分之一和四分之一
(   )把　1　張圖畫紙等分成　9　份，小新拿走　1　份，是拿了幾張圖畫紙？　(Ａ)　1　張　(Ｂ)　1/9張　(Ｃ)　9/1張。,答案：(Ｂ) ,易,10-3_幾分之一
(   )奶奶把　1　塊月餅等分成　8　份，哥哥吃了　1　份，是吃了幾塊月餅？　(Ａ)　1　塊　(Ｂ)　8　塊　(Ｃ)　1/8塊。,答案：(Ｃ) ,易,10-3_幾分之一
(   )把　1　顆梨子等分切開，分給彤彤和　7　個家人，1　個人分到幾顆梨子？　(Ａ)　1　顆　(Ｂ)　1/7　顆　(Ｃ)　1/8　顆。,答案：(Ｃ) 解析：彤彤和　7　個家人共有　8　個人，所以梨子等分切成　8　份，1　個人分到　1/8　顆梨子。 ,中,10-3_幾分之一
(   )把　1　個御飯糰等分成　3　份，分給　3　位小朋友，每一位小朋友拿到幾個御飯糰？　(Ａ)　1　個　(Ｂ)　3/1　個　(Ｃ)　1/3　個。,答案：(Ｃ) ,易,10-3_幾分之一
(   )1/8　塊巧克力的　8　是什麼意思？　(Ａ)　8　種口味　(Ｂ)　1　塊等分成　8　份　(Ｃ)　8　盒巧克力。,答案：(Ｂ) ,中,10-3_幾分之一
(   )1/9　個蛋塔的　1　是什麼意思？　(Ａ)　1　個蛋塔　(Ｂ)　1　種口味　(Ｃ)　等分成　9　份中的其中　1　份。,答案：(Ｃ) ,中,10-3_幾分之一
(   )老師發給每一組一張紙，要小組長等分成　8　份給每一位組員，組員拿到的其中　1　份是多少張紙？(Ａ)　1/8張　(Ｂ)　8/1　張　(Ｃ)　1　張。,答案：(Ａ)  解析：一位組員拿到的紙是　8　份中的其中　1　份，所以是　1/8　張紙。 ,難,10-3_幾分之一
(   )992　往上數到　1000，數了多少個　1？　(Ａ)　18　個　(Ｂ)　80　個　(Ｃ)　8　個　(Ｄ)　108　個。,答案：(Ｃ)　 解析：992　往上數　8　個　1　就是　1000。 ,易,1-1_數到1000
(   )姐姐的錢包裡有　499　元，在書包裡發現　1　元，姐姐現在有幾元？　(Ａ)　498　元　(Ｂ)　499　元　(Ｃ)　500　元。,答案：(Ｃ)　 ,中,1-1_數到1000
(   )709　－□－　711　－　712，□中的數是多少？　(Ａ)　708　(Ｂ)　710　(Ｃ)　711。,答案：(Ｂ)　 解析：711　和　712　相差　1，1　個一數，從　709　向上數　1　是　710。 ,中,1-1_數到1000
