input,output,difficulty,chapter
(   )小芬從家裡走到學校的距離是　350　公尺，是幾公里？　(Ａ)　3.5　公里　(Ｂ)　0.035　公里　(Ｃ)　0.35　公里　(Ｄ)　0.305　公里。,答案：(Ｃ) 解析：350　公尺＝0.35　公里 ,易,1-1_三位小數
(   )下列關於「303.003」中，數字　3　的含義，哪一個正確？　(Ａ)有　3　個　10，是　30　(Ｂ)有　3　個　0.001，是　0.003　(Ｃ)有　3　個　0.01，是　0.03　(Ｄ)有　3　個　0.1，是　0.3。,答案：(Ｂ) 解析：「303.003」中，有　3　個　100，是　300；有　3　個　1，是　3； 有　3　個　0.001，是　0.003。 ,中,1-1_三位小數
(   )40　個　10　公尺，合起來是幾公里？　(Ａ)　0.4　公里　(Ｂ)　0.04　公里　(Ｃ)　4　公里　(Ｄ)　0.004　公里。,答案：(Ａ) 解析：40　個　10　公尺是　400　公尺，也就是　0.4　公里。 ,中,1-1_三位小數
(   )已知甲數是　0.1、乙數是　0.0089、丙數是　0.03、丁數是　0.007，則哪一個數最小？　(Ａ)甲數　(Ｂ)乙數　(Ｃ)丙數　(Ｄ)丁數。,答案：(Ｄ) 解析：0.1＞0.03＞0.0089＞0.007， 所以甲數＞丙數＞乙數＞丁數。 ,中,1-2_多位小數與大小比較
(   )已知　2.0□501＞2.09401，□中的數字是多少？　(Ａ)　0　(Ｂ)　4　(Ｃ)　5　(Ｄ)　9。,答案：(Ｄ) 解析：2.00501＜2.09401，2.04501＜2.09401，2.05501＜2.09401，2.09501＞2.09401 ,中,1-2_多位小數與大小比較
(   )下列哪一個數比　0.3　大？　(Ａ)　99　個　0.001　(Ｂ)　4000　個　0.00001　(Ｃ)　20　個　0.1　(Ｄ)　5　個　0.01。,答案：(Ｃ) 解析：(Ａ)　99　個　0.001　是　0.099； (Ｂ)　4000　個　0.00001　是　0.04； (Ｃ)　20　個　0.1　是　2； (Ｄ)　5　個　0.01　是　0.05。 ,中,1-2_多位小數與大小比較
(   )有一個小數，比　0.402　小、比　0.39903　大，這個小數可能是下列哪一個數？　(Ａ)　0.34　(Ｂ)　0.40199　(Ｃ)　0.05888　(Ｄ)　0.41018。,答案：(Ｂ) 解析：(Ａ)　0.34＜0.39903； (Ｂ)　0.39903＜0.40199＜0.402； (Ｃ)　0.05888＜0.39903； (Ｄ)　0.41018＞0.402。 ,中,1-2_多位小數與大小比較
(   )小數點後第　3　位的位名稱為　(Ａ)十分位　(Ｂ)百分位　(Ｃ)千分位　(Ｄ)萬分位。,答案：(Ｃ) 解析：(Ａ)十分位是小數點後第　1　位； (Ｂ)百分位是小數點後第　2　位； (Ｃ)千分位是小數點後第　3　位； (Ｄ)萬分位是小數點後第　4　位。 ,易,1-2_多位小數與大小比較
(   )81　個　0.00001　合起來，讀作　(Ａ)零點零八十一　(Ｂ)零點零八一　(Ｃ)零點零零零八十一　(Ｄ)零點零零零八一。,答案：(Ｄ) 解析：81　個　0.00001　合起來是　0.00081。 ,易,1-2_多位小數與大小比較
(   )0.0512、0.00125、0.000512、0.125　這四個數中，何者最大？　(Ａ)　0.0512　(Ｂ)　0.00125　(Ｃ)　0.000512　(Ｄ)　0.125。,答案：(Ｄ) 解析：0.125＞0.0512＞0.00125＞0.000512 ,易,1-2_多位小數與大小比較
